company_name,company_slug,fiscal_year,official_doc_type,official_doc_type_label,selected_canonical_document_id,sha256,final_path,final_file_exists,page_count,audit_bucket,audit_priority,validation_status_merged,selection_status,company_name_detected_in_text
TotalEnergies,totalenergies,2024,01_urd_annual_report,URD / annual report,canonical_46ba29d60207c57de191ca65,c0294fa903042125e9347c0592847defd97f5da88182a640162598828d33b4f0,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\01_urd_annual_report\document.pdf,True,680,KEEP_LIKELY_VALID,4,likely_valid,selected,True
TotalEnergies,totalenergies,2024,02_sustainability_statement_csrd_esrs,Sustainability statement / CSRD / ESRS,canonical_46ba29d60207c57de191ca65,c0294fa903042125e9347c0592847defd97f5da88182a640162598828d33b4f0,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\02_sustainability_statement_csrd_esrs\document.pdf,True,680,KEEP_LIKELY_VALID,4,likely_valid,selected,True
TotalEnergies,totalenergies,2024,03_climate_report_tcfd_transition_plan,Climate report / TCFD / transition plan,canonical_efb8d5e87dd197f7a45ee975,65b02fcd781febf91dfc3c3ac4117cdeeb2c7af67ca847c366c2aebac9c390e3,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\03_climate_report_tcfd_transition_plan\document.pdf,True,112,REVIEW_STANDARD,3,needs_review,selected,True
TotalEnergies,totalenergies,2024,04_vigilance_plan,Vigilance plan,canonical_afa0257c1849f991949a3c94,c221f3684732fcb29102ce1830671fd49fe2e53fde24b3bbd976a7b54b10bea7,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\04_vigilance_plan\document.pdf,True,17,REVIEW_STANDARD,3,needs_review,selected_needs_review,True
TotalEnergies,totalenergies,2024,05_half_year_financial_report,Half-year financial report,canonical_db2f702e7c200b82eb474471,592fbaea83ef03f2e9460126279dbe5be8655b7a0599af9ce591efd05053dd7b,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\05_half_year_financial_report\document.pdf,True,54,KEEP_LIKELY_VALID,4,likely_valid,selected,True
TotalEnergies,totalenergies,2024,07_code_ethique,Code ethique / code of conduct,canonical_33c1b7bdcd6a9569c9581e77,5a7eb9e6b9876af8f50eb012ed0bbefe75225ba021e3664311d35f077cd94fd3,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\07_code_ethique\document.pdf,True,23,REVIEW_STANDARD,3,needs_review,selected_needs_review,True
TotalEnergies,totalenergies,2024,08_anticorruption_policy,Anti-corruption policy,canonical_4530a62fa5f85cf1ae6d0d1b,57d879543b9e0796d0641e08460dc76c80da93b1821f3eb8ec729dc3f68d7470,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\08_anticorruption_policy\document.pdf,True,24,REVIEW_STANDARD,3,needs_review,selected_needs_review,True
TotalEnergies,totalenergies,2024,13_investor_presentations,Investor presentations,canonical_7edf3073bafd23d66eac2682,c9eaa784b07391fe7b01bd8b40a4aa6cffaa9576db0394421fac2777aebaad6a,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\13_investor_presentations\document.pdf,True,7,REVIEW_STANDARD,3,needs_review,selected_needs_review,True
TotalEnergies,totalenergies,2024,16_agm_minutes_resolutions,AGM minutes / resolutions,canonical_20da77a537a4d8d4858a20cd,e8b5c6aba7158e3a27111808d94eb53723df10b2ccf8b964e4236b94bdc5b4ae,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\16_agm_minutes_resolutions\document.pdf,True,56,KEEP_LIKELY_VALID,4,likely_valid,selected,True
TotalEnergies,totalenergies,2024,17_cdp_response,CDP response,canonical_e40e6307b0697d5d38ab12a7,a13f228aa035bede38a0df4b99f81e097b750043345f5208b8cf7dcf906d7bd7,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\17_cdp_response\document.pdf,True,379,KEEP_LIKELY_VALID,4,likely_valid,selected,True
TotalEnergies,totalenergies,2024,18_sbti_validation,SBTi validation,canonical_d469097f681ffab7d02a2b7c,ad1e291ef60f417ed054d620ecf71ef1df20c388285b5b945e0eb4e6788da435,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\18_sbti_validation\document.pdf,True,4,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,needs_review,selected_needs_review,False
TotalEnergies,totalenergies,2024,19_third_party_assurance_report,Third-party assurance report,canonical_4c8949ad2788d82743abe454,c414387fbd2a50f0a1f1c78d492bc1e4b867977df6187d012e48ac1a8b8d2485,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\totalenergies\2024\19_third_party_assurance_report\document.pdf,True,8,KEEP_LIKELY_VALID,4,likely_valid,selected,True
