company_name,company_slug,fiscal_year,official_doc_type,official_doc_type_label,selected_canonical_document_id,sha256,source_title,source_url,source_path,final_path,validation_status,selection_status,selection_reason,selection_score,page_count,detected_years,company_name_detected_in_text,validation_status_merged,audit_bucket,audit_priority,final_file_exists,probable_language,technical_validation_status,is_pdf_header_valid,file_size_mb,validation_notes
BNP Paribas,bnp-paribas,2024,01_urd_annual_report,URD / annual report,canonical_c770a46401e681516f05ed3e,9fc754d47162512181a6f7cef448ba76a78ece624fe335f6abfdcc12930e0a7b,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\bnp-paribas\2024\01_urd_annual_report\canonical-c770a46401e681516f05ed3e\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\bnp-paribas\2024\01_urd_annual_report\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1263.6,43,[2024],True,needs_review,REVIEW_STANDARD,3,True,en,valid_pdf,True,6.2106,"[""Aucun mot-cle documentaire specifique detecte.""]"
LVMH,lvmh,2024,01_urd_annual_report,URD / annual report,canonical_0d43bf3de8cca5d3a1145322,4e67ffaaae7f880fd24e837c30f10c08b0a087ca1b4314dade86e7b5d32c12cb,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\01_urd_annual_report\canonical-0d43bf3de8cca5d3a1145322\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\01_urd_annual_report\document.pdf,likely_valid,selected,best_ranked_likely_valid_document_for_official_doc_type,1751.8,484,"[1908, 1914, 1916, 1923, 1924, 1925, 1936, 1947, 1949, 1952, 1955, 1957, 1959, 1960, 1969, 1970, 1972, 1973, 1974, 1976, 1977, 1980, 1983, 1984, 1985, 1987, 1988, 1991, 1992, 1993, 1996, 1998, 1999, 2006, 2007, 2008, 2009, 2010, 2013, 2024, 2025]",True,needs_review,REVIEW_STANDARD,3,True,en,valid_pdf,True,7.7547,"[""Aucun mot-cle documentaire specifique detecte.""]"
LVMH,lvmh,2024,02_sustainability_statement_csrd_esrs,Sustainability statement / CSRD / ESRS,canonical_0d43bf3de8cca5d3a1145322,4e67ffaaae7f880fd24e837c30f10c08b0a087ca1b4314dade86e7b5d32c12cb,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\02_sustainability_statement_csrd_esrs\canonical-0d43bf3de8cca5d3a1145322\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\02_sustainability_statement_csrd_esrs\document.pdf,likely_valid,selected,best_ranked_likely_valid_document_for_official_doc_type,1751.8,484,"[1908, 1914, 1916, 1923, 1924, 1925, 1936, 1947, 1949, 1952, 1955, 1957, 1959, 1960, 1969, 1970, 1972, 1973, 1974, 1976, 1977, 1980, 1983, 1984, 1985, 1987, 1988, 1991, 1992, 1993, 1996, 1998, 1999, 2006, 2007, 2008, 2009, 2010, 2013, 2024, 2025]",True,needs_review,REVIEW_STANDARD,3,True,en,valid_pdf,True,7.7547,"[""Aucun mot-cle documentaire specifique detecte.""]"
LVMH,lvmh,2024,03_climate_report_tcfd_transition_plan,Climate report / TCFD / transition plan,canonical_0d43bf3de8cca5d3a1145322,4e67ffaaae7f880fd24e837c30f10c08b0a087ca1b4314dade86e7b5d32c12cb,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\03_climate_report_tcfd_transition_plan\canonical-0d43bf3de8cca5d3a1145322\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\03_climate_report_tcfd_transition_plan\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1351.8,484,"[1908, 1914, 1916, 1923, 1924, 1925, 1936, 1947, 1949, 1952, 1955, 1957, 1959, 1960, 1969, 1970, 1972, 1973, 1974, 1976, 1977, 1980, 1983, 1984, 1985, 1987, 1988, 1991, 1992, 1993, 1996, 1998, 1999, 2006, 2007, 2008, 2009, 2010, 2013, 2024, 2025]",True,needs_review,REVIEW_STANDARD,3,True,en,valid_pdf,True,7.7547,"[""Aucun mot-cle documentaire specifique detecte.""]"
LVMH,lvmh,2024,05_half_year_financial_report,Half-year financial report,canonical_49e7f8d175cda572e7dc23de,7daf607d73b9f286302d1cb67ea59beb9e31eb235cd20ad9003b7a6bc4c6b3d8,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\05_half_year_financial_report\canonical-49e7f8d175cda572e7dc23de\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\05_half_year_financial_report\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1257.2,11,"[2023, 2024]",True,needs_review,REVIEW_STANDARD,3,True,unknown,valid_pdf,True,1.1251,"[""Aucun mot-cle documentaire specifique detecte.""]"
LVMH,lvmh,2024,17_cdp_response,CDP response,canonical_6433e2342f80e4ea22b33d6d,043619c4055d75c576e48cd8b5df9178cf7b0ce5b769899d2d48c33e5ff60567,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\17_cdp_response\canonical-6433e2342f80e4ea22b33d6d\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\17_cdp_response\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1225.0,871,"[2010, 2015, 2023, 2024, 2025, 2030, 2039]",False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,en,valid_pdf,True,3.011,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
LVMH,lvmh,2024,18_sbti_validation,SBTi validation,canonical_ca8266ef2ec56361de270468,ada723f63fd95afc284ab42f21b59f3d6d7885e16aa360ee480bda221c8b6771,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-ca8266ef2ec56361de270468\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\18_sbti_validation\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1225.0,174,"[2020, 2022, 2024]",False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,unknown,valid_pdf,True,6.0846,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
Schneider Electric,schneider-electric,2024,02_sustainability_statement_csrd_esrs,Sustainability statement / CSRD / ESRS,canonical_9de29cb0ed2693a4ff8e134b,89d162c4a20b0b532fd6c15021ed8bf6cf65551b34fa5c5a0b757b0fa03ce25d,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\02_sustainability_statement_csrd_esrs\canonical-9de29cb0ed2693a4ff8e134b\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\02_sustainability_statement_csrd_esrs\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1355.0,676,"[2017, 2024, 2025]",True,needs_review,REVIEW_STANDARD,3,True,fr,valid_pdf,True,13.9201,"[""Aucun mot-cle documentaire specifique detecte.""]"
Schneider Electric,schneider-electric,2024,05_half_year_financial_report,Half-year financial report,canonical_4348f033133985f7bca9ae0d,43e167d4fa066cf8d70c7face89ecb51059e2a0aee9da30674a12e2ae5676eb4,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\05_half_year_financial_report\canonical-4348f033133985f7bca9ae0d\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\05_half_year_financial_report\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1245.4,102,"[2024, 2025]",False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,fr,valid_pdf,True,1.5298,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
Schneider Electric,schneider-electric,2024,08_anticorruption_policy,Anti-corruption policy,canonical_446893b809f2a09f53a8b273,97d562b899055eeaddecc8808af1469c384bb62d77bab918702fdaecc5d17cc3,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\08_anticorruption_policy\canonical-446893b809f2a09f53a8b273\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\08_anticorruption_policy\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1200.0,20,[2023],False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,en,valid_pdf,True,0.2736,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
