canonical_document_id,sha256,company_name,company_slug,fiscal_year,technical_document_family,official_doc_type,official_doc_type_label,doc_type_stratum,doc_subtype,period_type,regulatory_status,parent_doc_id,status,taxonomy_notes,source_document_path,taxonomy_document_path,taxonomy_manifest_path,taxonomy_references_path,error_type,error_message
canonical_ea846efe0c435730a8bf5c95,75efc85a5a4cd8d0d10f81fb6a38ffe383268d088ef9e86c5a55a6b45229a375,LVMH,lvmh,2024,agm_document,16_agm_minutes_resolutions,AGM minutes / resolutions,governance,agm_document,annual_or_ad_hoc,regulated_or_official,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\agm-document\canonical-ea846efe0c435730a8bf5c95\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-ea846efe0c435730a8bf5c95\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-ea846efe0c435730a8bf5c95\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-ea846efe0c435730a8bf5c95\references.json,,
canonical_9e6de564f8d59b46c8309631,76e1374cf94a93c56d0db366908721488e38a576d0c577d6ed7caca5bba14714,LVMH,lvmh,2024,agm_document,16_agm_minutes_resolutions,AGM minutes / resolutions,governance,agm_document,annual_or_ad_hoc,regulated_or_official,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\agm-document\canonical-9e6de564f8d59b46c8309631\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-9e6de564f8d59b46c8309631\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-9e6de564f8d59b46c8309631\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-9e6de564f8d59b46c8309631\references.json,,
canonical_a660471b484780255f435c31,7a40a136722ac019eff6cd05262353d27eb882030edcf596a942a59438416b65,LVMH,lvmh,2024,sbti_commitment,18_sbti_validation,SBTi validation,external_validation,sbti_commitment,ad_hoc,voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\sbti-commitment\canonical-a660471b484780255f435c31\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-a660471b484780255f435c31\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-a660471b484780255f435c31\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-a660471b484780255f435c31\references.json,,
canonical_3f2b6761e62730b07dc96b18,7c248032a782cb90c847cfecbbfedf25c7965438e759dd08be103c78a2bab216,TotalEnergies,totalenergies,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\totalenergies\2024\corporate-policy\canonical-3f2b6761e62730b07dc96b18\document.pdf,,,,,
canonical_63d5018a61d85bc282862f02,7c81f409f095956491c8d20ff6c507b3b348c748ba683e19e9016cf9f982900e,LVMH,lvmh,2024,sbti_commitment,18_sbti_validation,SBTi validation,external_validation,sbti_commitment,ad_hoc,voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\sbti-commitment\canonical-63d5018a61d85bc282862f02\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-63d5018a61d85bc282862f02\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-63d5018a61d85bc282862f02\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-63d5018a61d85bc282862f02\references.json,,
canonical_49e7f8d175cda572e7dc23de,7daf607d73b9f286302d1cb67ea59beb9e31eb235cd20ad9003b7a6bc4c6b3d8,LVMH,lvmh,2024,half_year_report,05_half_year_financial_report,Half-year financial report,financial_reporting,half_year_report,half_year,regulated,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\half-year-report\canonical-49e7f8d175cda572e7dc23de\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\05_half_year_financial_report\canonical-49e7f8d175cda572e7dc23de\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\05_half_year_financial_report\canonical-49e7f8d175cda572e7dc23de\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\05_half_year_financial_report\canonical-49e7f8d175cda572e7dc23de\references.json,,
canonical_8c256bbe5861948c1cbd19ff,816c7d20ecc27c264a489d5dc3fce8de799e4f1cf4c35415b6469e3f9aaf5106,Schneider Electric,schneider-electric,2024,cdp_response,17_cdp_response,CDP response,external_questionnaire,cdp_response,annual,voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\schneider-electric\2024\cdp-response\canonical-8c256bbe5861948c1cbd19ff\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\17_cdp_response\canonical-8c256bbe5861948c1cbd19ff\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\17_cdp_response\canonical-8c256bbe5861948c1cbd19ff\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\17_cdp_response\canonical-8c256bbe5861948c1cbd19ff\references.json,,
canonical_f497174d253b53a2b4ff3766,81a65cc24ce63f02d70b20e003567207d1dcbe36b4962a1a86f66917e2f606a4,LVMH,lvmh,2024,sbti_commitment,18_sbti_validation,SBTi validation,external_validation,sbti_commitment,ad_hoc,voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\sbti-commitment\canonical-f497174d253b53a2b4ff3766\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-f497174d253b53a2b4ff3766\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-f497174d253b53a2b4ff3766\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-f497174d253b53a2b4ff3766\references.json,,
canonical_66796d9a101f17896f1ea9f9,82fb67a4f9ee959e5bba5bb9ece304a5b51c59ff9f3c5da284e7f165dc977839,LVMH,lvmh,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\corporate-policy\canonical-66796d9a101f17896f1ea9f9\document.pdf,,,,,
canonical_cd392d96c8b389450eb150ad,830db5eb5a8bba5a3e08775573f47bca4fa6ddac25097743e012926c69fe51aa,LVMH,lvmh,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\corporate-policy\canonical-cd392d96c8b389450eb150ad\document.pdf,,,,,
